device_id,humidity,light,raw,temperature,time
device_001,62,60,NjItMzAtNjAuMDA=,30,2019-06-01T08:15:45.834550738Z
device_001,62,58.33,NjItMzAtNTguMzM=,30,2019-06-01T08:16:16.182712599Z
device_001,62,57.5,NjItMzAtNTcuNTA=,30,2019-06-01T08:16:31.047951091Z
device_001,62,25,NjItMzAtMjUuMDA=,30,2019-06-01T08:16:45.896780307Z
device_001,62,56.67,NjItMzAtNTYuNjc=,30,2019-06-01T08:17:00.752334255Z
device_001,62,60,NjItMzAtNjAuMDA=,30,2019-06-01T08:17:16.109204436Z
device_001,62,59.17,NjItMzAtNTkuMTc=,30,2019-06-01T08:17:30.975254232Z
device_001,62,55.83,NjItMzAtNTUuODM=,30,2019-06-01T08:17:45.830002076Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:18:01.191399778Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:18:16.064605108Z
device_001,62,54.17,NjItMzAtNTQuMTc=,30,2019-06-01T08:18:30.903823379Z
device_001,62,54.17,NjItMzAtNTQuMTc=,30,2019-06-01T08:19:00.763969468Z
device_001,63,37.5,NjMtMzEtMzcuNTA=,31,2019-06-01T08:19:16.118371337Z
device_001,63,54.17,NjMtMzEtNTQuMTc=,31,2019-06-01T08:19:30.97288478Z
device_001,63,53.33,NjMtMzEtNTMuMzM=,31,2019-06-01T08:19:45.827924025Z
device_001,63,53.33,NjMtMzEtNTMuMzM=,31,2019-06-01T08:20:01.184621405Z
device_001,62,56.67,NjItMzEtNTYuNjc=,31,2019-06-01T08:20:16.041603659Z
device_001,63,56.67,NjMtMzEtNTYuNjc=,31,2019-06-01T08:20:30.8956186Z
device_001,63,52.5,NjMtMzEtNTIuNTA=,31,2019-06-01T08:20:46.251019274Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:21:01.107089024Z
device_001,62,51.67,NjItMzAtNTEuNjc=,30,2019-06-01T08:21:15.960707962Z
device_001,62,55.83,NjItMzEtNTUuODM=,31,2019-06-01T08:21:30.833138888Z
device_001,63,55.83,NjMtMzEtNTUuODM=,31,2019-06-01T08:21:46.189132865Z
device_001,63,55.83,NjMtMzEtNTUuODM=,31,2019-06-01T08:22:01.043088405Z
device_001,62,57.5,NjItMzEtNTcuNTA=,31,2019-06-01T08:22:15.901263965Z
device_001,62,57.5,NjItMzEtNTcuNTA=,31,2019-06-01T08:22:31.255923336Z
device_001,62,53.33,NjItMzEtNTMuMzM=,31,2019-06-01T08:22:46.11734051Z
device_001,63,53.33,NjMtMzEtNTMuMzM=,31,2019-06-01T08:23:00.977258878Z
device_001,63,50,NjMtMzEtNTAuMDA=,31,2019-06-01T08:23:16.070206931Z
device_001,63,50,NjMtMzEtNTAuMDA=,31,2019-06-01T08:23:31.236842826Z
device_001,62,50,NjItMzAtNTAuMDA=,30,2019-06-01T08:23:46.089651361Z
device_001,62,50.83,NjItMzAtNTAuODM=,30,2019-06-01T08:24:00.949261227Z
device_001,62,50,NjItMzAtNTAuMDA=,30,2019-06-01T08:24:16.295450459Z
device_001,63,50,NjMtMzEtNTAuMDA=,31,2019-06-01T08:24:31.13905115Z
device_001,62,49.17,NjItMzAtNDkuMTc=,30,2019-06-01T08:24:45.989953176Z
device_001,62,49.17,NjItMzAtNDkuMTc=,30,2019-06-01T08:25:01.337468314Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:25:16.186415631Z
device_001,62,23.33,NjItMzAtMjMuMzM=,30,2019-06-01T08:25:31.040760673Z
device_001,62,49.17,NjItMzAtNDkuMTc=,30,2019-06-01T08:25:45.887455679Z
device_001,62,49.17,NjItMzAtNDkuMTc=,30,2019-06-01T08:26:01.237308028Z
device_001,62,49.17,NjItMzAtNDkuMTc=,30,2019-06-01T08:26:31.092355593Z
device_001,62,51.67,NjItMzAtNTEuNjc=,30,2019-06-01T08:26:45.952675563Z
device_001,62,51.67,NjItMzAtNTEuNjc=,30,2019-06-01T08:27:01.297731589Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:27:16.148630115Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:27:30.997715133Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:27:46.346735278Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:28:01.197528903Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:28:16.04641972Z
device_001,62,30,NjItMzAtMzAuMDA=,30,2019-06-01T08:28:31.39666297Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:28:46.246660392Z
device_001,62,53.33,NjItMzAtNTMuMzM=,30,2019-06-01T08:29:01.097045316Z
