humidity,light,temperature,has_human
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0.83,29,0
54,0.83,29,0
54,0.83,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
